cited_by_count,country_code,display_name,h_index,id,works_api_url,works_count
5896.0,US,John P. Fischer,42.0,https://openalex.org/A5089383748,https://api.openalex.org/works?filter=author.id:A5089383748,340.0
151.0,US,Sophia S. Liu,4.0,https://openalex.org/A5023899704,https://api.openalex.org/works?filter=author.id:A5023899704,5.0
193.0,GB,Hali Lindsay,7.0,https://openalex.org/A5059894525,https://api.openalex.org/works?filter=author.id:A5059894525,27.0
174.0,IT,Francesca M. Franco,2.0,https://openalex.org/A5038848423,https://api.openalex.org/works?filter=author.id:A5038848423,2.0
842.0,SE,Andréas Andersson,15.0,https://openalex.org/A5054147588,https://api.openalex.org/works?filter=author.id:A5054147588,141.0
12004.0,NL,Harriëtte Riese,57.0,https://openalex.org/A5048296639,https://api.openalex.org/works?filter=author.id:A5048296639,278.0
371.0,ZA,Philippa Kerr,9.0,https://openalex.org/A5029047472,https://api.openalex.org/works?filter=author.id:A5029047472,25.0
36888.0,CN,Qing Li,78.0,https://openalex.org/A5100404176,https://api.openalex.org/works?filter=author.id:A5100404176,2594.0
19.0,NL,Martijn Heufke Kantelaar,1.0,https://openalex.org/A5052194625,https://api.openalex.org/works?filter=author.id:A5052194625,2.0
9772.0,JP,Hisashi Ohtsuki,36.0,https://openalex.org/A5006822609,https://api.openalex.org/works?filter=author.id:A5006822609,140.0
122.0,SG,Nasri Bin Othman,7.0,https://openalex.org/A5058249935,https://api.openalex.org/works?filter=author.id:A5058249935,18.0
12386.0,GB,Sascha O. Becker,45.0,https://openalex.org/A5086383420,https://api.openalex.org/works?filter=author.id:A5086383420,255.0
41.0,CA,Heather N. McDonald,1.0,https://openalex.org/A5078875177,https://api.openalex.org/works?filter=author.id:A5078875177,1.0
107.0,IT,Elena Beretta,6.0,https://openalex.org/A5051872004,https://api.openalex.org/works?filter=author.id:A5051872004,15.0
38662.0,CN,Didier Sornette,98.0,https://openalex.org/A5057002364,https://api.openalex.org/works?filter=author.id:A5057002364,1535.0
80.0,RU,Kimia Hamidieh,3.0,https://openalex.org/A5009409152,https://api.openalex.org/works?filter=author.id:A5009409152,14.0
1151.0,US,Samantha Hurst,18.0,https://openalex.org/A5052623979,https://api.openalex.org/works?filter=author.id:A5052623979,94.0
11573.0,IT,Stefano Battiston,48.0,https://openalex.org/A5060046382,https://api.openalex.org/works?filter=author.id:A5060046382,240.0
476.0,CN,Qianyu Chen,13.0,https://openalex.org/A5015681671,https://api.openalex.org/works?filter=author.id:A5015681671,66.0
60.0,CN,Wang Tong-Tong,4.0,https://openalex.org/A5045622792,https://api.openalex.org/works?filter=author.id:A5045622792,13.0
1624.0,BE,Brahim Zarouali,19.0,https://openalex.org/A5034741131,https://api.openalex.org/works?filter=author.id:A5034741131,50.0
283.0,KR,Jaehyuk Park,10.0,https://openalex.org/A5047569245,https://api.openalex.org/works?filter=author.id:A5047569245,43.0
322.0,GB,Nadira FaulmÃ ⁄ ller,5.0,https://openalex.org/A5111921615,https://api.openalex.org/works?filter=author.id:A5111921615,5.0
146.0,AT,Clemens Meinhart,2.0,https://openalex.org/A5007861811,https://api.openalex.org/works?filter=author.id:A5007861811,2.0
381.0,ES,Konstantina Valogianni,10.0,https://openalex.org/A5066564381,https://api.openalex.org/works?filter=author.id:A5066564381,37.0
3519.0,CN,Ming Zhang,19.0,https://openalex.org/A5100447267,https://api.openalex.org/works?filter=author.id:A5100447267,36.0
778.0,US,Naoki Egami,12.0,https://openalex.org/A5041445378,https://api.openalex.org/works?filter=author.id:A5041445378,1111.0
